,Material,Element,Ionic Radius,Average Electronegativity,Molecular weight
0,CuO,,,,
1,ZnO,,,,
4,Mn2O3,,,,
8,CoO,,,,
80,CeO2,,,,
82,Fe2O3,,,,
83,Gd2O3,,,,
84,HfO2,,,,
87,In2O3,,,,
92,La2O3,,,,
96,NiO,,,,
97,Sb2O3,,,,
99,SiO2,,,,
102,Al2O3,,,,
5,Se,,,,
71,CuS,,,,
809,TiO2,,,,
1054,Ti,,,,
1070,Cr,,,,
1086,Co,,,,
1138,Co3O4,,,,
1157,CdO,,,,
1162,MnO,,,,
1182,Bi,,,,
1270,Mo,,,,
1275,Pt,,,,
1403,Cu2O,,,,
1483,MgO,,,,
1830,Au,,,,
2006,Ag,,,,
2351,Ni,,,,
2992,ZrO2,,,,
3931,Cu,,,,
3965,Bi2O3,,,,
548,Fe3O4,,,,
